ticker,future_date,predicted_return,model_order,model_aic,prediction_type,exogenous_mode,ci_lower,ci_upper,forecast_valid
ABNB,2025-09-26,-0.02237202241705854,"(0, 0, 5)",-575.0801683160362,future_forecast,individual,-0.05942619595239205,0.01468215111827497,True
ABNB,2025-10-03,-0.020372111637700578,"(0, 0, 5)",-575.0801683160362,future_forecast,individual,-0.05743221163850619,0.016687988363105033,True
ABNB,2025-10-10,0.0007426371375906149,"(0, 0, 5)",-575.0801683160362,future_forecast,individual,-0.03634415190600509,0.03782942618118632,True
ABNB,2025-10-17,0.012133670414329858,"(0, 0, 5)",-575.0801683160362,future_forecast,individual,-0.024969871896108452,0.049237212724768165,True
ABNB,2025-10-24,0.008545567841742069,"(0, 0, 5)",-575.0801683160362,future_forecast,individual,-0.030316543407958634,0.04740767909144277,True
