ticker,status,order,aic,test_rmse,test_mae,test_mape,directional_accuracy,selection_method,model_path,error,error_type
CCL,success,"(3, 0, 4)",-511.7026151537407,,,,,,arimaxmodels\CCL_arimax.pkl,,
CDNS,success,"(6, 0, 4)",-635.5275090199001,,,,,,arimaxmodels\CDNS_arimax.pkl,,
CDW,success,"(0, 0, 1)",-623.5765825204381,,,,,,arimaxmodels\CDW_arimax.pkl,,
CEG,success,"(0, 0, 5)",-582.2636214401999,,,,,,arimaxmodels\CEG_arimax.pkl,,
CFLT,success,"(2, 0, 0)",-466.898227626187,,,,,,arimaxmodels\CFLT_arimax.pkl,,
CHRW,success,"(0, 0, 0)",-656.4553565235794,,,,,,arimaxmodels\CHRW_arimax.pkl,,
CHTR,success,"(1, 0, 1)",-591.8121521794725,,,,,,arimaxmodels\CHTR_arimax.pkl,,
CI,success,"(0, 0, 0)",-686.2544075144103,,,,,,arimaxmodels\CI_arimax.pkl,,
CLX,success,"(0, 0, 3)",-719.1840129110755,,,,,,arimaxmodels\CLX_arimax.pkl,,
CL,success,"(0, 0, 1)",-805.094302676518,,,,,,arimaxmodels\CL_arimax.pkl,,
CMCSA,success,"(0, 0, 0)",-676.3551103728348,,,,,,arimaxmodels\CMCSA_arimax.pkl,,
CME,success,"(0, 0, 3)",-754.3261531277338,,,,,,arimaxmodels\CME_arimax.pkl,,
CMG,success,"(6, 0, 5)",-641.1907135421324,,,,,,arimaxmodels\CMG_arimax.pkl,,
CMS,success,"(3, 0, 1)",-733.4394274743703,,,,,,arimaxmodels\CMS_arimax.pkl,,
CNP,success,"(1, 0, 0)",-721.5568890055262,,,,,,arimaxmodels\CNP_arimax.pkl,,
COF,success,"(0, 0, 0)",-608.0400516398652,,,,,,arimaxmodels\COF_arimax.pkl,,
COIN,success,"(5, 0, 5)",-367.14480663993913,,,,,,arimaxmodels\COIN_arimax.pkl,,
COO,success,"(0, 0, 1)",-705.5248932051468,,,,,,arimaxmodels\COO_arimax.pkl,,
COP,success,"(0, 0, 4)",-665.6704621787459,,,,,,arimaxmodels\COP_arimax.pkl,,
COST,success,"(0, 0, 0)",-724.7564391751102,,,,,,arimaxmodels\COST_arimax.pkl,,
CPB,success,"(0, 0, 0)",-736.6119846567044,,,,,,arimaxmodels\CPB_arimax.pkl,,
CPRT,success,"(2, 0, 6)",-703.0768958978268,,,,,,arimaxmodels\CPRT_arimax.pkl,,
CRM,success,"(5, 0, 3)",-607.0687393116822,,,,,,arimaxmodels\CRM_arimax.pkl,,
CRWD,success,"(1, 0, 2)",-520.3051780935142,,,,,,arimaxmodels\CRWD_arimax.pkl,,
CSCO,success,"(2, 0, 5)",-775.0559740858089,,,,,,arimaxmodels\CSCO_arimax.pkl,,
CSGP,success,"(1, 0, 0)",-664.51883085318,,,,,,arimaxmodels\CSGP_arimax.pkl,,
CTAS,success,"(3, 0, 2)",-762.5750617975924,,,,,,arimaxmodels\CTAS_arimax.pkl,,
CTRA,success,"(0, 0, 0)",-663.6851012019755,,,,,,arimaxmodels\CTRA_arimax.pkl,,
CTSH,success,"(1, 0, 1)",-702.6101851277556,,,,,,arimaxmodels\CTSH_arimax.pkl,,
CTVA,success,"(0, 0, 0)",-691.1023035050639,,,,,,arimaxmodels\CTVA_arimax.pkl,,
CVS,success,"(0, 0, 0)",-639.0006987101684,,,,,,arimaxmodels\CVS_arimax.pkl,,
CVX,success,"(3, 0, 6)",-706.180736245005,,,,,,arimaxmodels\CVX_arimax.pkl,,
C,success,"(0, 0, 0)",-692.6747308181907,,,,,,arimaxmodels\C_arimax.pkl,,
DAL,success,"(3, 0, 5)",-625.1676813243868,,,,,,arimaxmodels\DAL_arimax.pkl,,
DASH,success,"(1, 0, 6)",-508.25962491146925,,,,,,arimaxmodels\DASH_arimax.pkl,,
DECK,success,"(1, 0, 3)",-589.5556287960183,,,,,,arimaxmodels\DECK_arimax.pkl,,
DELL,success,"(3, 0, 6)",-568.6340802990716,,,,,,arimaxmodels\DELL_arimax.pkl,,
DE,success,"(1, 0, 1)",-661.3011765472233,,,,,,arimaxmodels\DE_arimax.pkl,,
DGX,success,"(0, 0, 0)",-747.1002967850048,,,,,,arimaxmodels\DGX_arimax.pkl,,
DHR,success,"(1, 0, 3)",-686.4315890149126,,,,,,arimaxmodels\DHR_arimax.pkl,,
DIS,success,"(0, 0, 0)",-644.6260530978014,,,,,,arimaxmodels\DIS_arimax.pkl,,
DLR,success,"(5, 0, 5)",-654.3923513342318,,,,,,arimaxmodels\DLR_arimax.pkl,,
DOV,success,"(0, 0, 6)",-703.020461285203,,,,,,arimaxmodels\DOV_arimax.pkl,,
DTE,success,"(3, 0, 4)",-724.3395921836787,,,,,,arimaxmodels\DTE_arimax.pkl,,
DUK,success,"(5, 0, 6)",-764.9619899198084,,,,,,arimaxmodels\DUK_arimax.pkl,,
DVN,success,"(0, 0, 0)",-632.3406029343505,,,,,,arimaxmodels\DVN_arimax.pkl,,
DXCM,success,"(0, 0, 3)",-563.313405912144,,,,,,arimaxmodels\DXCM_arimax.pkl,,
EA,success,"(0, 0, 5)",-760.0493168175153,,,,,,arimaxmodels\EA_arimax.pkl,,
EBAY,success,"(5, 0, 1)",-643.7069832247815,,,,,,arimaxmodels\EBAY_arimax.pkl,,
ECL,success,"(1, 0, 3)",-742.7270271263737,,,,,,arimaxmodels\ECL_arimax.pkl,,
ED,success,"(0, 0, 0)",-749.857518970111,,,,,,arimaxmodels\ED_arimax.pkl,,
ELV,success,"(4, 0, 2)",-696.8610736774248,,,,,,arimaxmodels\ELV_arimax.pkl,,
EMR,success,"(0, 0, 1)",-729.8054494369562,,,,,,arimaxmodels\EMR_arimax.pkl,,
ENPH,success,"(6, 0, 5)",-461.76535176583025,,,,,,arimaxmodels\ENPH_arimax.pkl,,
EPAM,success,"(0, 0, 6)",-593.1947063201653,,,,,,arimaxmodels\EPAM_arimax.pkl,,
EQIX,success,"(0, 0, 0)",-673.8897843536181,,,,,,arimaxmodels\EQIX_arimax.pkl,,
EQR,success,"(3, 0, 4)",-707.6880545883786,,,,,,arimaxmodels\EQR_arimax.pkl,,
EQT,success,"(2, 0, 0)",-584.935138590101,,,,,,arimaxmodels\EQT_arimax.pkl,,
ES,success,"(0, 0, 1)",-675.8751505541945,,,,,,arimaxmodels\ES_arimax.pkl,,
ETN,success,"(0, 0, 0)",-671.2976308432084,,,,,,arimaxmodels\ETN_arimax.pkl,,
ETR,success,"(4, 0, 3)",-694.4627259427632,,,,,,arimaxmodels\ETR_arimax.pkl,,
EW,success,"(0, 0, 0)",-666.7136048119991,,,,,,arimaxmodels\EW_arimax.pkl,,
EXC,success,"(1, 0, 0)",-713.3861079683775,,,,,,arimaxmodels\EXC_arimax.pkl,,
EXPD,success,"(0, 0, 0)",-688.4142894659909,,,,,,arimaxmodels\EXPD_arimax.pkl,,
EXPE,success,"(0, 0, 2)",-576.408690649897,,,,,,arimaxmodels\EXPE_arimax.pkl,,
EXR,success,"(2, 0, 1)",-649.163771133878,,,,,,arimaxmodels\EXR_arimax.pkl,,
FANG,success,"(5, 0, 4)",-636.3268054570071,,,,,,arimaxmodels\FANG_arimax.pkl,,
FAST,success,"(0, 0, 1)",-722.5305099357273,,,,,,arimaxmodels\FAST_arimax.pkl,,
FCNCA,success,"(3, 0, 5)",-599.4255652539011,,,,,,arimaxmodels\FCNCA_arimax.pkl,,
FDX,success,"(3, 0, 3)",-671.731737283277,,,,,,arimaxmodels\FDX_arimax.pkl,,
FE,success,"(1, 0, 4)",-762.9590273587215,,,,,,arimaxmodels\FE_arimax.pkl,,
FICO,success,"(0, 0, 0)",-618.4968488077842,,,,,,arimaxmodels\FICO_arimax.pkl,,
FI,success,"(1, 0, 6)",-729.6738708324958,,,,,,arimaxmodels\FI_arimax.pkl,,
FMC,success,"(1, 0, 4)",-606.3503365967914,,,,,,arimaxmodels\FMC_arimax.pkl,,
FSLR,success,"(2, 0, 5)",-517.9435198216082,,,,,,arimaxmodels\FSLR_arimax.pkl,,
FTNT,success,"(6, 0, 0)",-605.457344851832,,,,,,arimaxmodels\FTNT_arimax.pkl,,
FTV,success,"(0, 0, 2)",-710.7159029250286,,,,,,arimaxmodels\FTV_arimax.pkl,,
GD,success,"(0, 0, 3)",-781.3666243826534,,,,,,arimaxmodels\GD_arimax.pkl,,
