ticker,status,order,aic,test_rmse,test_mae,test_mape,directional_accuracy,selection_method,model_path,error,error_type
PRU,success,"(5, 0, 0)",-688.2517703907608,,,,,,arimaxmodels\PRU_arimax.pkl,,
PSX,success,"(2, 0, 0)",-647.4466291575001,,,,,,arimaxmodels\PSX_arimax.pkl,,
QCOM,success,"(5, 0, 3)",-601.7478191419266,,,,,,arimaxmodels\QCOM_arimax.pkl,,
RCL,success,"(6, 0, 4)",-590.2384851297427,,,,,,arimaxmodels\RCL_arimax.pkl,,
REG,success,"(0, 0, 0)",-731.8518228887544,,,,,,arimaxmodels\REG_arimax.pkl,,
RF,success,"(1, 0, 3)",-678.8295007608433,,,,,,arimaxmodels\RF_arimax.pkl,,
RL,success,"(3, 0, 5)",-612.3195942467722,,,,,,arimaxmodels\RL_arimax.pkl,,
RMD,success,"(1, 0, 2)",-634.301662617436,,,,,,arimaxmodels\RMD_arimax.pkl,,
ROK,success,"(2, 0, 2)",-632.5967221385112,,,,,,arimaxmodels\ROK_arimax.pkl,,
ROP,success,"(1, 0, 0)",-764.9897093426515,,,,,,arimaxmodels\ROP_arimax.pkl,,
RSG,success,"(0, 0, 0)",-757.7112382121817,,,,,,arimaxmodels\RSG_arimax.pkl,,
RTX,success,"(0, 0, 2)",-748.4560927082188,,,,,,arimaxmodels\RTX_arimax.pkl,,
SBAC,success,"(0, 0, 0)",-675.8777856375054,,,,,,arimaxmodels\SBAC_arimax.pkl,,
SBUX,success,"(1, 0, 2)",-692.6586152788174,,,,,,arimaxmodels\SBUX_arimax.pkl,,
SCHW,success,"(0, 0, 4)",-656.6276636628703,,,,,,arimaxmodels\SCHW_arimax.pkl,,
SHW,success,"(0, 0, 4)",-715.0833454688238,,,,,,arimaxmodels\SHW_arimax.pkl,,
SJM,success,"(0, 0, 0)",-700.546768921013,,,,,,arimaxmodels\SJM_arimax.pkl,,
SLB,success,"(1, 0, 0)",-632.0707140339288,,,,,,arimaxmodels\SLB_arimax.pkl,,
SMCI,success,"(6, 0, 2)",-363.9963309973745,,,,,,arimaxmodels\SMCI_arimax.pkl,,
SNPS,success,"(6, 0, 3)",-640.8863508321616,,,,,,arimaxmodels\SNPS_arimax.pkl,,
SO,success,"(0, 0, 0)",-764.7177402259713,,,,,,arimaxmodels\SO_arimax.pkl,,
SPGI,success,"(1, 0, 4)",-699.8048454609675,,,,,,arimaxmodels\SPGI_arimax.pkl,,
SPG,success,"(1, 0, 4)",-710.9128503423681,,,,,,arimaxmodels\SPG_arimax.pkl,,
SRE,success,"(0, 0, 0)",-730.7233339980413,,,,,,arimaxmodels\SRE_arimax.pkl,,
STT,success,"(0, 0, 1)",-654.3543786917706,,,,,,arimaxmodels\STT_arimax.pkl,,
STZ,success,"(1, 0, 2)",-721.786384909896,,,,,,arimaxmodels\STZ_arimax.pkl,,
SWKS,success,"(0, 0, 0)",-620.5508951978429,,,,,,arimaxmodels\SWKS_arimax.pkl,,
SWK,success,"(0, 0, 0)",-613.3807267117278,,,,,,arimaxmodels\SWK_arimax.pkl,,
SYK,success,"(5, 0, 5)",-737.3540907365157,,,,,,arimaxmodels\SYK_arimax.pkl,,
SYY,success,"(6, 0, 5)",-719.8640289949277,,,,,,arimaxmodels\SYY_arimax.pkl,,
TDG,success,"(1, 0, 4)",-686.5402855560136,,,,,,arimaxmodels\TDG_arimax.pkl,,
TECH,success,"(4, 0, 2)",-579.6826362401106,,,,,,arimaxmodels\TECH_arimax.pkl,,
TFC,success,"(6, 0, 2)",-597.8362167528974,,,,,,arimaxmodels\TFC_arimax.pkl,,
TGT,success,"(0, 0, 0)",-655.9543340213155,,,,,,arimaxmodels\TGT_arimax.pkl,,
TJX,success,"(0, 0, 1)",-770.4385139188307,,,,,,arimaxmodels\TJX_arimax.pkl,,
TMO,success,"(1, 0, 6)",-716.4377849893893,,,,,,arimaxmodels\TMO_arimax.pkl,,
TMUS,success,"(1, 0, 5)",-769.6354968449294,,,,,,arimaxmodels\TMUS_arimax.pkl,,
TPG,success,"(0, 0, 6)",-604.6368232939101,,,,,,arimaxmodels\TPG_arimax.pkl,,
TPR,success,"(0, 0, 0)",-597.4228747354498,,,,,,arimaxmodels\TPR_arimax.pkl,,
TROW,success,"(0, 0, 1)",-657.4906597912875,,,,,,arimaxmodels\TROW_arimax.pkl,,
TRV,success,"(2, 0, 1)",-695.094499388892,,,,,,arimaxmodels\TRV_arimax.pkl,,
TSCO,success,"(0, 0, 1)",-711.873014786931,,,,,,arimaxmodels\TSCO_arimax.pkl,,
TSLA,success,"(6, 0, 5)",-486.28725196791413,,,,,,arimaxmodels\TSLA_arimax.pkl,,
TTWO,success,"(0, 0, 0)",-649.8015181690513,,,,,,arimaxmodels\TTWO_arimax.pkl,,
TT,success,"(3, 0, 3)",-698.5808619600251,,,,,,arimaxmodels\TT_arimax.pkl,,
TXN,success,"(0, 0, 0)",-673.9786712162503,,,,,,arimaxmodels\TXN_arimax.pkl,,
TYL,success,"(0, 0, 0)",-648.4160266519075,,,,,,arimaxmodels\TYL_arimax.pkl,,
T,success,"(0, 0, 1)",-722.367722763338,,,,,,arimaxmodels\T_arimax.pkl,,
UAL,success,"(2, 0, 1)",-561.7983097497283,,,,,,arimaxmodels\UAL_arimax.pkl,,
UBER,success,"(1, 0, 3)",-583.1056070109398,,,,,,arimaxmodels\UBER_arimax.pkl,,
ULTA,success,"(3, 0, 1)",-680.5869103672787,,,,,,arimaxmodels\ULTA_arimax.pkl,,
UNH,success,"(4, 0, 6)",-707.1531885082048,,,,,,arimaxmodels\UNH_arimax.pkl,,
UNP,success,"(1, 0, 4)",-741.8825822856418,,,,,,arimaxmodels\UNP_arimax.pkl,,
UPS,success,"(1, 0, 1)",-717.4591387338852,,,,,,arimaxmodels\UPS_arimax.pkl,,
URI,success,"(1, 0, 1)",-598.151948449122,,,,,,arimaxmodels\URI_arimax.pkl,,
USB,success,"(2, 0, 3)",-610.0561388446253,,,,,,arimaxmodels\USB_arimax.pkl,,
VICI,success,"(6, 0, 2)",-734.0254058150994,,,,,,arimaxmodels\VICI_arimax.pkl,,
VMC,success,"(0, 0, 0)",-694.1999829330268,,,,,,arimaxmodels\VMC_arimax.pkl,,
VRSK,success,"(0, 0, 0)",-716.6097749782895,,,,,,arimaxmodels\VRSK_arimax.pkl,,
VRTX,success,"(4, 0, 6)",-675.633832311843,,,,,,arimaxmodels\VRTX_arimax.pkl,,
VTRS,success,"(4, 0, 3)",-655.5236719887814,,,,,,arimaxmodels\VTRS_arimax.pkl,,
VZ,success,"(3, 0, 6)",-749.5669724525463,,,,,,arimaxmodels\VZ_arimax.pkl,,
V,success,"(2, 0, 1)",-732.0912081366857,,,,,,arimaxmodels\V_arimax.pkl,,
WAB,success,"(1, 0, 1)",-730.5530414763233,,,,,,arimaxmodels\WAB_arimax.pkl,,
WBA,success,"(6, 1, 6)",-533.3651970365304,,,,,,arimaxmodels\WBA_arimax.pkl,,
WEC,success,"(1, 0, 5)",-732.9458221747841,,,,,,arimaxmodels\WEC_arimax.pkl,,
WELL,success,"(5, 0, 2)",-685.7193383531085,,,,,,arimaxmodels\WELL_arimax.pkl,,
WFC,success,"(0, 0, 0)",-682.6599729957533,,,,,,arimaxmodels\WFC_arimax.pkl,,
WHR,success,"(1, 0, 2)",-579.075836971028,,,,,,arimaxmodels\WHR_arimax.pkl,,
WMT,success,"(0, 0, 0)",-774.5425200353149,,,,,,arimaxmodels\WMT_arimax.pkl,,
WM,success,"(4, 0, 5)",-754.7990568851133,,,,,,arimaxmodels\WM_arimax.pkl,,
WTW,success,"(5, 0, 3)",-723.5402347925705,,,,,,arimaxmodels\WTW_arimax.pkl,,
XEL,success,"(6, 0, 4)",-763.3088891621974,,,,,,arimaxmodels\XEL_arimax.pkl,,
XOM,success,"(1, 0, 3)",-699.7590693075888,,,,,,arimaxmodels\XOM_arimax.pkl,,
YUM,success,"(2, 0, 3)",-783.9751314310921,,,,,,arimaxmodels\YUM_arimax.pkl,,
ZBH,success,"(3, 0, 5)",-736.0065703496183,,,,,,arimaxmodels\ZBH_arimax.pkl,,
ZBRA,success,"(6, 0, 5)",-572.3579088771478,,,,,,arimaxmodels\ZBRA_arimax.pkl,,
ZION,success,"(1, 0, 1)",-555.3072439218673,,,,,,arimaxmodels\ZION_arimax.pkl,,
