horizon,ticker,n_samples,n_features,model_path,cv_mean_rmse,cv_std_rmse,cv_mean_mae,cv_std_mae,cv_mean_r2,cv_std_r2,cv_mean_directional_accuracy,cv_std_directional_accuracy
1,ALL,77291,164,C:\Users\Tony\marketAnalysis\xgboost\models\xgboost_1w_all.pkl,0.03410697378425618,0.00721730140892688,0.02620859727918552,0.004594254340821939,-0.028641164372801287,0.0954796239970984,55.38461538461538,13.760418323075625
2,ALL,76791,164,C:\Users\Tony\marketAnalysis\xgboost\models\xgboost_2w_all.pkl,0.050995082671864214,0.012804874317311874,0.03634805841663646,0.005566450326787986,-0.09839025309156921,0.15578053091574845,47.69230769230769,19.91104477776121
4,ALL,75791,164,C:\Users\Tony\marketAnalysis\xgboost\models\xgboost_4w_all.pkl,0.061902414297002474,0.02585634590254369,0.04358146797438629,0.01207788968075517,-0.2344215586794546,0.3109157256773478,47.69230769230769,16.676525683599074
8,ALL,73791,164,C:\Users\Tony\marketAnalysis\xgboost\models\xgboost_8w_all.pkl,0.07108068482423727,0.028984738439804224,0.05318662811628999,0.016228853919612967,-0.35784840777619403,0.47319953812958143,60.0,19.911044777761205
