horizon,ticker,n_samples,n_features,model_path,cv_mean_rmse,cv_std_rmse,cv_mean_mae,cv_std_mae,cv_mean_r2,cv_std_r2,cv_mean_directional_accuracy,cv_std_directional_accuracy
1,ALL,77781,164,xgboost/models\xgboost_1w_all.pkl,0.0329257560082307,0.013957823515730433,0.024201812207352638,0.009011275372139008,-0.04992964510071156,0.1332583756903503,52.30769230769231,16.67652568359908
2,ALL,77281,164,xgboost/models\xgboost_2w_all.pkl,0.045336641036165734,0.022584181088348143,0.033520611438203805,0.014362333751150978,-0.0895098885763607,0.23468657784512764,49.23076923076924,22.161323524442977
4,ALL,76281,164,xgboost/models\xgboost_4w_all.pkl,0.06234890553169907,0.033572830559543146,0.04752568928344194,0.023842589308704927,-0.2241700501424034,0.34291393232726886,47.69230769230769,17.541160386140582
8,ALL,74281,164,xgboost/models\xgboost_8w_all.pkl,0.07184171032069987,0.0330205091000812,0.05652975707779619,0.024111776047016482,-0.4498692739800948,0.8619969637031275,58.46153846153847,23.458385664579858
