Date,Open,High,Low,Close,Volume,Capital Gains
1993-01-29 00:00:00-05:00,24.39779340356037,24.39779340356037,24.27641134682624,24.38045310974121,1003200,0.0
1993-02-03 00:00:00-05:00,24.64053176869242,24.883295628482493,24.62319149299313,24.865955352783203,529400,0.0
1993-02-08 00:00:00-05:00,24.952674865722653,25.03937630722968,24.917994289119843,24.952674865722656,596100,0.0
1993-02-18 00:00:00-05:00,24.38045163357146,24.38045163357146,23.75620109387831,24.08566665649414,378100,0.0
1993-02-23 00:00:00-05:00,24.328415888402937,24.34575617057571,24.120332502329642,24.241714477539062,373700,0.0
1993-03-05 00:00:00-05:00,24.93532334492859,25.03936502786988,24.813941381497088,24.831281661987305,40000,0.0
1993-03-10 00:00:00-05:00,25.29949011717873,25.351511001586914,25.19544834836237,25.351511001586914,194400,0.0
1993-03-15 00:00:00-05:00,25.004685571604764,25.143407821655277,25.004685571604764,25.143407821655273,310800,0.0
1993-03-25 00:00:00-05:00,25.035671395166524,25.22731536548443,25.000827036926903,25.175048828125,110100,0.0
1993-03-30 00:00:00-05:00,25.175061248958563,25.20990562438965,25.140216873527482,25.20990562438965,56000,0.0
1993-04-14 00:00:00-04:00,25.105361403941444,25.12278358395806,25.03567268387499,25.0530948638916,119600,0.0
1993-04-19 00:00:00-04:00,25.05309570568234,25.122784428090355,24.931140441468308,24.948562622070312,157000,0.0
1993-04-29 00:00:00-04:00,24.460747285692424,24.51301383972168,24.32136980828107,24.51301383972168,85000,0.0
1993-05-04 00:00:00-04:00,24.756911325354185,24.8788665535579,24.722066974438835,24.79175567626953,149100,0.0
1993-05-14 00:00:00-04:00,24.547853929075327,24.617542655630544,24.513009565797717,24.530431747436523,63500,0.0
1993-05-19 00:00:00-04:00,24.600113100347052,25.105356216430668,24.443313512596966,25.105356216430664,50200,0.0
1993-05-24 00:00:00-04:00,25.00082832384176,25.140205763974674,25.00082832384176,25.0530948638916,30500,0.0
1993-06-03 00:00:00-04:00,25.36670205222527,25.36670205222527,25.279591124848125,25.331857681274414,21600,0.0
