Ticker, Period, Interval, AvgChange, MeanAE, MedianAE
TSLA,max,1h,1.8412512437932376,0.8943609981352905,0.5133365408513413
TSLA,max,1h,1.840804173565021,1.2955054411033462,0.7112859930398372
NVDA,6mo,1h,0.95887617156878,0.49780356592981523,0.3313396483958968
NVDA,6mo,1h,0.95887617156878,0.5090180973334845,0.3306783748810602
TSLA,max,1h,1.840804173565021,0.8815665383317821,0.5212416295785118
TSLA,max,1h,1.840804173565021,0.8880269655928005,0.5728373192018807
TSLA,max,1h,1.840804173565021,0.8338988666471235,0.49701207296810423
TSLA,max,1h,1.840804173565021,0.8840741003483478,0.4989060908658871
TSLA,max,1h,1.8412512437932376,61.369774726774295,44.494868543851055
TSLA,max,1h,1.840804173565021,0.8984996942114964,0.5615494087151376
TSLA,2y,1d,6.180541900267082,2.516539977288477,2.0967742920819035
TSLA,6mo,1d,9.360486286442452,4.4288462753127895,4.502319086512358
TSLA,2y,1h,1.8382593980149762,1.2929940742097805,0.7234659468573454
TSLA,max,1h,1.840804173565021,1.2955054411033462,0.7112859930398372
TSLA,2y,1h,1.8382593980149762,0.9689812433684067,0.5615890928533815
NVDA,6mo,1h,0.95887617156878,0.42785207192372154,0.3141325550695129
